city,year,episode_id,start_date,end_date,duration_days,observed_episode_days,n_station_days,station_ids,days_with_direct_support,days_with_noncompound_support
New York,2024,new_york_2024-07-05,2024-07-05,2024-07-08,4,4,32,34-003-0010;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,3,4
New York,2024,new_york_2024-07-13,2024-07-13,2024-07-14,2,2,16,34-003-0010;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,1,2
New York,2024,new_york_2024-08-01,2024-08-01,2024-08-03,3,3,24,34-003-0010;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,3,3
New York,2025,new_york_2025-07-08,2025-07-08,2025-07-09,2,2,16,34-003-0010;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,1,2
New York,2025,new_york_2025-07-28,2025-07-28,2025-07-30,3,3,24,34-003-0010;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,1,3
New York,2025,new_york_2025-08-13,2025-08-13,2025-08-14,2,2,15,34-003-0010;34-017-0006;34-017-1002;34-039-0004;36-005-0110;36-005-0133;36-081-0124;36-081-0125,2,2
Philadelphia,2019,philadelphia_2019-06-27,2019-06-27,2019-06-28,2,2,6,34-007-0002;42-101-0075;42-101-0076,2,2
Philadelphia,2019,philadelphia_2019-08-03,2019-08-03,2019-08-04,2,2,8,34-007-0002;42-045-0002;42-101-0075;42-101-0076,2,2
Philadelphia,2019,philadelphia_2019-08-17,2019-08-17,2019-08-20,4,4,16,34-007-0002;42-045-0002;42-101-0075;42-101-0076,3,4
Philadelphia,2020,philadelphia_2020-07-21,2020-07-21,2020-07-22,2,2,8,34-007-0002;42-101-0048;42-101-0075;42-101-0076,2,2
Philadelphia,2021,philadelphia_2021-06-08,2021-06-08,2021-06-09,2,2,9,34-007-0002;42-045-0002;42-101-0048;42-101-0075;42-101-0076,2,2
Philadelphia,2021,philadelphia_2021-07-14,2021-07-14,2021-07-17,4,4,20,34-007-0002;42-045-0002;42-101-0048;42-101-0075;42-101-0076,3,4
Philadelphia,2021,philadelphia_2021-07-26,2021-07-26,2021-07-27,2,2,9,34-007-0002;42-045-0002;42-101-0048;42-101-0075;42-101-0076,1,2
Philadelphia,2021,philadelphia_2021-08-13,2021-08-13,2021-08-14,2,2,10,34-007-0002;42-045-0002;42-101-0048;42-101-0075;42-101-0076,1,2
Philadelphia,2021,philadelphia_2021-08-24,2021-08-24,2021-08-27,4,4,20,34-007-0002;42-045-0002;42-101-0048;42-101-0075;42-101-0076,1,4
Philadelphia,2022,philadelphia_2022-08-10,2022-08-10,2022-08-11,2,2,10,34-007-0002;42-045-0002;42-101-0048;42-101-0075;42-101-0076,1,2
