city,year,episode_id,event_mean_n_sites,control_mean_n_sites,site_count_difference,roster_jaccard,common_qualified_sites,common_site_ids,original_change_ppb,common_site_change_ppb
Philadelphia,2021,philadelphia_2021-06-08,4.5,5.0,-0.5,1.0,4,34-007-0002;42-101-0048;42-101-0075;42-101-0076,3.030717107142859,1.6673121785714269
Philadelphia,2021,philadelphia_2021-07-26,4.5,5.0,-0.5,1.0,4,42-045-0002;42-101-0048;42-101-0075;42-101-0076,6.367980249999997,4.838087500000004
Philadelphia,2021,philadelphia_2021-08-13,5.0,5.0,0.0,1.0,4,34-007-0002;42-101-0048;42-101-0075;42-101-0076,-1.0517402142857133,-0.7018151428571437
Philadelphia,2021,philadelphia_2021-08-24,5.0,5.0,0.0,1.0,5,34-007-0002;42-045-0002;42-101-0048;42-101-0075;42-101-0076,7.583317785714286,7.583317785714286
Philadelphia,2022,philadelphia_2022-08-10,5.0,4.5,0.5,1.0,4,34-007-0002;42-101-0048;42-101-0075;42-101-0076,1.8503549642857136,0.49282182142857067
Philadelphia,2023,philadelphia_2023-06-01,5.0,4.5,0.5,1.0,4,42-045-0002;42-101-0048;42-101-0075;42-101-0076,1.7663930357142883,0.614089250000001
Philadelphia,2023,philadelphia_2023-07-05,4.666666666666667,4.0,0.666666666666667,1.0,2,42-101-0048;42-101-0076,-4.454102071428573,-2.0338281190476204
Philadelphia,2023,philadelphia_2023-09-07,4.0,5.0,-1.0,1.0,4,34-007-0002;42-101-0048;42-101-0075;42-101-0076,9.163065964285714,8.277651035714285
Philadelphia,2024,philadelphia_2024-07-07,4.0,4.0,0.0,0.8,4,42-045-0002;42-101-0048;42-101-0075;42-101-0076,2.253199178571428,2.587530035714284
Philadelphia,2025,philadelphia_2025-06-29,5.0,5.0,0.0,1.0,3,34-007-0010;42-045-0002;42-101-0048,2.946353,1.9563842142857135
Philadelphia,2025,philadelphia_2025-07-11,4.0,4.5,-0.5,1.0,3,34-007-0010;42-045-0002;42-101-0048,-4.423841642857141,-4.579147999999998
Philadelphia,2025,philadelphia_2025-07-28,5.0,4.666666666666667,0.33333333333333304,1.0,4,34-007-0010;42-045-0002;42-101-0048;42-101-0075,2.640725309523812,3.838272452380952
Philadelphia,2025,philadelphia_2025-08-12,4.25,4.75,-0.5,1.0,4,34-007-0010;42-045-0002;42-101-0048;42-101-0075,-2.33866657142857,-2.142291928571429
Phoenix,2020,phoenix_2020-09-16,4.0,3.0,1.0,1.0,3,04-013-3002;04-013-4020;04-013-9997,3.1504632142857183,3.412560928571427
